date,state,daily
2019-04-15,Malaysia,58
2019-04-16,Malaysia,154
2019-04-17,Malaysia,164
2019-04-18,Malaysia,177
2019-04-19,Malaysia,139
2019-04-20,Malaysia,164
2019-04-21,Malaysia,114
2019-04-22,Malaysia,200
2019-04-23,Malaysia,239
2019-04-24,Malaysia,204
2019-04-25,Malaysia,245
2019-04-26,Malaysia,187
2019-04-27,Malaysia,205
2019-04-28,Malaysia,181
2019-04-29,Malaysia,291
2019-04-30,Malaysia,237
2019-05-01,Malaysia,114
2019-05-02,Malaysia,303
2019-05-03,Malaysia,236
2019-05-04,Malaysia,180
2019-05-05,Malaysia,157
2019-05-06,Malaysia,251
2019-05-07,Malaysia,296
2019-05-08,Malaysia,254
2019-05-09,Malaysia,290
2019-05-10,Malaysia,277
2019-05-11,Malaysia,152
2019-05-12,Malaysia,129
2019-05-13,Malaysia,349
2019-05-14,Malaysia,321
2019-05-15,Malaysia,394
2019-05-16,Malaysia,386
2019-05-17,Malaysia,319
2019-05-18,Malaysia,183
2019-05-19,Malaysia,113
2019-05-20,Malaysia,394
2019-05-21,Malaysia,419
2019-05-22,Malaysia,407
2019-05-23,Malaysia,365
2019-05-24,Malaysia,281
2019-05-25,Malaysia,185
2019-05-26,Malaysia,197
2019-05-27,Malaysia,434
2019-05-28,Malaysia,349
2019-05-29,Malaysia,380
2019-05-30,Malaysia,357
2019-05-31,Malaysia,252
2019-06-01,Malaysia,143
2019-06-02,Malaysia,160
2019-06-03,Malaysia,198
2019-06-04,Malaysia,164
2019-06-05,Malaysia,42
2019-06-06,Malaysia,88
2019-06-07,Malaysia,201
2019-06-08,Malaysia,176
2019-06-09,Malaysia,189
2019-06-10,Malaysia,387
2019-06-11,Malaysia,404
2019-06-12,Malaysia,450
2019-06-13,Malaysia,590
2019-06-14,Malaysia,391
2019-06-15,Malaysia,363
2019-06-16,Malaysia,216
2019-06-17,Malaysia,510
2019-06-18,Malaysia,606
2019-06-19,Malaysia,538
2019-06-20,Malaysia,578
2019-06-21,Malaysia,440
2019-06-22,Malaysia,318
2019-06-23,Malaysia,290
2019-06-24,Malaysia,518
2019-06-25,Malaysia,564
2019-06-26,Malaysia,613
2019-06-27,Malaysia,570
2019-06-28,Malaysia,470
2019-06-29,Malaysia,310
2019-06-30,Malaysia,260
2019-07-01,Malaysia,571
